LANGUAGES,LABEL,ACCURACY (%),,
,,MONO,MONO_BI,MONO_BI_TRI
Welsh,cym,98.8507,89.8226,77.052816
Swedish,swe,99.7081,83.3129,72.74770576
Latin,lat,99.6781,82.3898,64.00870579
Armenian,hye,97.7405,76.9154,63.49032383
Catalan,cat,99.2318,80.6481,63.42693645
Dutch,nld,99.3524,79.018,62.81178246
Albanian,sqi,99.6134,79.3653,62.508136
Italian,ita,99.6512,82.3898,61.86833761
Serbian,srp,99.3713,79.6019,61.66896
Spanish,spa,99.9164,79.647,60.6317533
French,fra,99.0281,77.7318,60.403813
Romanian,ron,99.171,78.0089,60.32541487
Bosnian,bos,99.5668,78.3596,59.79788191
Mirandese,mwl,99..0649,79.1298,59.60185152
English,eng,99.7282,78.8535,59.512061
Bulgarian,bul,98.9811,76.4877,59.21277341
Portuguese,por,98.4196,78.2984,59.0268777
Hungarian,hun,99.629,77.8308,58.93988437
Croatian,hrv,99.501,77.6179,58.87997511
German,deu,99.4897,76.4432,58.58312387
Maltese,mlt,99.3536,76.7345,58.3004196
Danish,dan,99.5102,75.42,57.75643105
Turkish,tur,99.1382,75.0682,57.71716408
Russian,rus,99.8759,74.9274,57.67587165
Finnish,fin,99.666,78.7407,57.37806969
Norwegian Nynorsk,nno,99.5644,75.5234,57.24128266
Belarusian (Taraschkewiza),be-tarask,99.2149,74.2289,56.86342429
Polish,pol,99.2439,74.0341,56.68512929
Luxembourgish,ltz,99.4245,72.6806,56.10486775
Icelandic,isl,99.2623,73.4829,55.3839586
Czech,ces,99.1211,72.1967,55.30869359
Ukrainian,ukr,99.789,72.6316,54.70052731
Lithuanian,lit,99.0375,73.0883,54.427767
Modern Greek,ell,99.197,71.8494,53.95981687
Slovak,slk,99.6601,68.6813,50.55039927
