Label,English,Wiki Code,ISO 369-3,German,Language family,Writing system,Remarks,Synonyms,Matching_Score,Percentage_Accuracy
cym,Welsh,cy,cym,Walisisch,Indo-European,,,,0.998507,99.8507
swe,Swedish,sv,swe,Schwedisch,Indo-European,Latin,,,0.997081,99.7081
ita,Italian,it,ita,Italienisch,Indo-European,Latin,,,0.996512,99.6512
lat,Latin,la,lat,Latein,Indo-European,,,,0.996781,99.6781
cat,Catalan,ca,cat,Katalanisch,Indo-European,Latin,,,0.992318,99.2318
spa,Spanish,es,spa,Spanisch,Indo-European,Latin,,,0.989164,98.9164
srp,Serbian,sr,srp,Serbisch,Indo-European,,,,0.993713,99.3713
sqi,Albanian,sq,sqi,Albanisch,Indo-European,,,,0.996134,99.6134
mwl,Mirandese,mwl,mwl,MirandíëŒ©s,Indo-European,,,,0.990649,99.0649
nld,Dutch,nl,nld,Niederlíë_ndisch,Indo-European,Latin,,,0.993524,99.3524
eng,English,en,eng,Englisch,Indo-European,Latin,,,0.997282,99.7282
fin,Finnish,fi,fin,Finnisch,Uralic,Latin,,,0.99666,99.666
bos,Bosnian,bs,bos,Bosnisch,Indo-European,,,,0.995668,99.5668
por,Portuguese,pt,por,Portugiesisch,Indo-European,Latin,,,0.984196,98.4196
ron,Romanian,ro,ron,Rumíë_nisch,Indo-European,,,,0.99171,99.171
hun,Hungarian,hu,hun,Ungarisch,Uralic,,,,0.99629,99.629
fra,French,fr,fra,FranzíëŒ_sisch,Indo-European,Latin,,,0.990281,99.0281
hrv,Croatian,hr,hrv,Kroatisch,Indo-European,,,,0.99501,99.501
hye,Armenian,hy,hye,Armenisch,Indo-European,,,,0.977405,97.7405
mlt,Maltese,mt,mlt,Maltesisch,Afro-Asiatic,,,,0.993536,99.3536
bul,Bulgarian,bg,bul,Bulgarisch,Indo-European,,,,0.989811,98.9811
deu,German,de,deu,Deutsch,Indo-European,Latin,,,0.994897,99.4897
nno,Norwegian Nynorsk,nn,nno,Nynorsk,Indo-European,,,,0.995644,99.5644
dan,Danish,da,dan,Díë_nisch,Indo-European,,,,0.995102,99.5102
tur,Turkish,tr,tur,Tíë_rkisch,Turkic,,,,0.991382,99.1382
rus,Russian,ru,rus,Russisch,Indo-European,Cyrillic,,,0.988759,98.8759
be-tarask,Belarusian (Taraschkewiza),be-tarask,,Weiíëí»russisch (Taraschkewiza),Indo-European,,,,0.992149,99.2149
pol,Polish,pl,pol,Polnisch,Indo-European,Latin,,,0.992439,99.2439
isl,Icelandic,is,isl,Islíë_ndisch,Indo-European,,,,0.992623,99.2623
lit,Lithuanian,lt,lit,Litauisch,Indo-European,,,,0.990375,99.0375
ltz,Luxembourgish,lb,ltz,Luxemburgisch,Indo-European,,,,0.994245,99.4245
ukr,Ukrainian,uk,ukr,Ukrainisch,Indo-European,Cyrillic,,,0.98789,98.789
ces,Czech,cs,ces,Tschechisch,Indo-European,Latin,,,0.991211,99.1211
ell,Modern Greek,el,ell,Griechisch,Indo-European,,(1453-),,0.99197,99.197
slk,Slovak,sk,slk,Slowakisch,Indo-European,,,,0.986601,98.6601
