Label,English,Wiki Code,ISO 369-3,German,Language family,Writing system,Remarks,Synonyms,Matching_Score,Percentage_Accuracy
cym,Welsh,cy,cym,Walisisch,Indo-European,,,,0.898226,89.8226
swe,Swedish,sv,swe,Schwedisch,Indo-European,Latin,,,0.833129,83.3129
ita,Italian,it,ita,Italienisch,Indo-European,Latin,,,0.823898,82.3898
lat,Latin,la,lat,Latein,Indo-European,,,,0.811867,81.1867
cat,Catalan,ca,cat,Katalanisch,Indo-European,Latin,,,0.806481,80.6481
spa,Spanish,es,spa,Spanisch,Indo-European,Latin,,,0.79647,79.647
srp,Serbian,sr,srp,Serbisch,Indo-European,,,,0.796019,79.6019
sqi,Albanian,sq,sqi,Albanisch,Indo-European,,,,0.793653,79.3653
mwl,Mirandese,mwl,mwl,MirandíëŒ©s,Indo-European,,,,0.791298,79.1298
nld,Dutch,nl,nld,Niederlíë_ndisch,Indo-European,Latin,,,0.79018,79.018
eng,English,en,eng,Englisch,Indo-European,Latin,,,0.788535,78.8535
fin,Finnish,fi,fin,Finnisch,Uralic,Latin,,,0.787407,78.7407
bos,Bosnian,bs,bos,Bosnisch,Indo-European,,,,0.783596,78.3596
por,Portuguese,pt,por,Portugiesisch,Indo-European,Latin,,,0.782984,78.2984
ron,Romanian,ro,ron,Rumíë_nisch,Indo-European,,,,0.780089,78.0089
hun,Hungarian,hu,hun,Ungarisch,Uralic,,,,0.778308,77.8308
fra,French,fr,fra,FranzíëŒ_sisch,Indo-European,Latin,,,0.777318,77.7318
hrv,Croatian,hr,hrv,Kroatisch,Indo-European,,,,0.776179,77.6179
hye,Armenian,hy,hye,Armenisch,Indo-European,,,,0.769154,76.9154
mlt,Maltese,mt,mlt,Maltesisch,Afro-Asiatic,,,,0.767345,76.7345
bul,Bulgarian,bg,bul,Bulgarisch,Indo-European,,,,0.764877,76.4877
deu,German,de,deu,Deutsch,Indo-European,Latin,,,0.764432,76.4432
nno,Norwegian Nynorsk,nn,nno,Nynorsk,Indo-European,,,,0.755234,75.5234
dan,Danish,da,dan,Díë_nisch,Indo-European,,,,0.7542,75.42
tur,Turkish,tr,tur,Tíë_rkisch,Turkic,,,,0.750682,75.0682
rus,Russian,ru,rus,Russisch,Indo-European,Cyrillic,,,0.749274,74.9274
be-tarask,Belarusian (Taraschkewiza),be-tarask,,Weiíëí»russisch (Taraschkewiza),Indo-European,,,,0.742289,74.2289
pol,Polish,pl,pol,Polnisch,Indo-European,Latin,,,0.740341,74.0341
isl,Icelandic,is,isl,Islíë_ndisch,Indo-European,,,,0.734829,73.4829
lit,Lithuanian,lt,lit,Litauisch,Indo-European,,,,0.730883,73.0883
ltz,Luxembourgish,lb,ltz,Luxemburgisch,Indo-European,,,,0.726806,72.6806
ukr,Ukrainian,uk,ukr,Ukrainisch,Indo-European,Cyrillic,,,0.726316,72.6316
ces,Czech,cs,ces,Tschechisch,Indo-European,Latin,,,0.721967,72.1967
ell,Modern Greek,el,ell,Griechisch,Indo-European,,(1453-),,0.718494,71.8494
slk,Slovak,sk,slk,Slowakisch,Indo-European,,,,0.686813,68.6813
