Label,English,Wiki Code,ISO 369-3,German,Language family,Writing system,Remarks,Synonyms,Matching_Score,Percentage_Accuracy
cym,Welsh,cy,cym,Walisisch,Indo-European,,,,0.77052816,77.052816
swe,Swedish,sv,swe,Schwedisch,Indo-European,Latin,,,0.727477058,72.74770576
lat,Latin,la,lat,Latein,Indo-European,,,,0.640087058,64.00870579
hye,Armenian,hy,hye,Armenisch,Indo-European,,,,0.634903238,63.49032383
cat,Catalan,ca,cat,Katalanisch,Indo-European,Latin,,,0.634269365,63.42693645
nld,Dutch,nl,nld,NiederlÃŒ_ndisch,Indo-European,Latin,,,0.628117825,62.81178246
sqi,Albanian,sq,sqi,Albanisch,Indo-European,,,,0.62508136,62.508136
ita,Italian,it,ita,Italienisch,Indo-European,Latin,,,0.618683376,61.86833761
srp,Serbian,sr,srp,Serbisch,Indo-European,,,,0.6166896,61.66896
spa,Spanish,es,spa,Spanisch,Indo-European,Latin,,,0.606317533,60.6317533
fra,French,fr,fra,FranzÃŒÂ¦sisch,Indo-European,Latin,,,0.60403813,60.403813
ron,Romanian,ro,ron,RumÃŒ_nisch,Indo-European,,,,0.603254149,60.32541487
bos,Bosnian,bs,bos,Bosnisch,Indo-European,,,,0.597978819,59.79788191
mwl,Mirandese,mwl,mwl,MirandÃŒÂ©s,Indo-European,,,,0.596018515,59.60185152
eng,English,en,eng,Englisch,Indo-European,Latin,,,0.59512061,59.512061
bul,Bulgarian,bg,bul,Bulgarisch,Indo-European,,,,0.592127734,59.21277341
por,Portuguese,pt,por,Portugiesisch,Indo-European,Latin,,,0.590268777,59.0268777
hun,Hungarian,hu,hun,Ungarisch,Uralic,,,,0.589398844,58.93988437
hrv,Croatian,hr,hrv,Kroatisch,Indo-European,,,,0.588799751,58.87997511
deu,German,de,deu,Deutsch,Indo-European,Latin,,,0.585831239,58.58312387
mlt,Maltese,mt,mlt,Maltesisch,Afro-Asiatic,,,,0.583004196,58.3004196
dan,Danish,da,dan,DÃŒ_nisch,Indo-European,,,,0.577564311,57.75643105
tur,Turkish,tr,tur,TÃŒ_rkisch,Turkic,,,,0.577171641,57.71716408
rus,Russian,ru,rus,Russisch,Indo-European,Cyrillic,,,0.576758717,57.67587165
fin,Finnish,fi,fin,Finnisch,Uralic,Latin,,,0.573780697,57.37806969
nno,Norwegian Nynorsk,nn,nno,Nynorsk,Indo-European,,,,0.572412827,57.24128266
be-tarask,Belarusian (Taraschkewiza),be-tarask,,WeiÃŒÃ™russisch (Taraschkewiza),Indo-European,,,,0.568634243,56.86342429
pol,Polish,pl,pol,Polnisch,Indo-European,Latin,,,0.566851293,56.68512929
ltz,Luxembourgish,lb,ltz,Luxemburgisch,Indo-European,,,,0.561048678,56.10486775
isl,Icelandic,is,isl,IslÃŒ_ndisch,Indo-European,,,,0.553839586,55.3839586
ces,Czech,cs,ces,Tschechisch,Indo-European,Latin,,,0.553086936,55.30869359
ukr,Ukrainian,uk,ukr,Ukrainisch,Indo-European,Cyrillic,,,0.547005273,54.70052731
lit,Lithuanian,lt,lit,Litauisch,Indo-European,,,,0.54427767,54.427767
ell,Modern Greek,el,ell,Griechisch,Indo-European,,(1453-),,0.539598169,53.95981687
slk,Slovak,sk,slk,Slowakisch,Indo-European,,,,0.505503993,50.55039927
